Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Victoria Black,Gray,Rear-wheel Drive,19–27,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHGN4JE0JU269414,CV4518B,"63,126 mi.",2018 Genesis G80 3.8,22990.0,$,https://www.cars.com/vehicledetail/9754c28d-3b1e-4e01-82c9-6ea528a090ec/
Mineral Black,Graphite,All-wheel Drive,13–19,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NE2K9231768,231768,"37,915 mi.",2019 INFINITI QX80 Limited,38505.0,$,https://www.cars.com/vehicledetail/0417dbf9-7e62-4d30-b094-c9e27b4c06b8/
Gray,Graystone,Front-wheel Drive,20–32,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,19UUB2F5XJA012227,012227,"62,887 mi.",2018 Acura TLX V6 w/Technology Package,20905.0,$,https://www.cars.com/vehicledetail/9d09bd18-cd34-4f2c-881d-6c0a8530c3cd/
Summit White,Whisper Beige,Rear-wheel Drive,23–34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1G6DB5RK6N0120862,TA12575,"33,034 mi.",2022 Cadillac CT4 Premium Luxury,28999.0,$,https://www.cars.com/vehicledetail/5b039e59-ad2a-4753-b0c9-0d4aa9ea52e0/
Onyx Black,Jet Black,Four-wheel Drive,15–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD0PR195767,RF183425A,"15,188 mi.",2023 GMC Yukon SLT,73248.0,$,https://www.cars.com/vehicledetail/c381cebe-a43c-4030-afe6-82fd71c17e06/
White,–,Four-wheel Drive,–,Hybrid,1-Speed Automatic,2.0L I4 16V MPFI DOHC Hybrid,JA4J24A51JZ067312,15292A,"40,796 mi.",2018 Mitsubishi Outlander PHEV GT,21000.0,$,https://www.cars.com/vehicledetail/44cdc704-7b04-4d9b-b086-24e138060606/
Skyscraper Gray Metallic,Black,All-wheel Drive,23–32,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,3MW49FF03P8D76299,SI0705,10 mi.,2023 BMW M340 i xDrive,68020.0,$,https://www.cars.com/vehicledetail/7caeb3f0-60c3-49e6-abb6-460e4f00e11d/
Modern Steel Metallic,Black,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,7FART6H85ME030697,ME030697,"54,136 mi.",2021 Honda CR-V Hybrid EX-L,28999.0,$,https://www.cars.com/vehicledetail/bdc7f268-9bd4-4593-9723-d423d8fef6c7/
Magnetic Gray Pearl,Black,All-wheel Drive,22–29,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3DFREV8EW183224,8802484A,"110,010 mi.",2014 Toyota RAV4 Limited,14487.0,$,https://www.cars.com/vehicledetail/097fae58-81d3-4be1-bc1e-194b5c3651f5/
Black Raven,Black,Four-wheel Drive,14–19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4KKL8MR437966,230343A,"46,579 mi.",2021 Cadillac Escalade ESV Premium Luxury,82499.0,$,https://www.cars.com/vehicledetail/aa046772-0d81-4eda-8e86-9af928c200b1/
Eminent White Pearl,Cream,All-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo,2T2GGCEZ0PC022823,RS2968,"5,745 mi.",2023 Lexus NX 350 Premium,43991.0,$,https://www.cars.com/vehicledetail/9f3555fe-cf0a-4258-af16-4d4758ed8f65/
White,Red,Front-wheel Drive,22–32,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,4T1KZ1AK3MU048090,P7655A,"74,679 mi.",2021 Toyota Camry XSE V6,28411.0,$,https://www.cars.com/vehicledetail/cb77fb1d-9fdd-4680-abc9-53d0e8511894/
White Frost Tri-Coat,Jet Black,Four-wheel Drive,14–19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2DKL8MR111824,P1659,"36,961 mi.",2021 GMC Yukon Denali,65487.0,$,https://www.cars.com/vehicledetail/1dbbd0c2-92df-48a9-90cd-8ec5dd4b0d83/
Silver,Black Onyx,Four-wheel Drive,17–19,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5AH3MLA68071,P6227,"14,918 mi.",2021 Ford Bronco Black Diamond,41956.0,$,https://www.cars.com/vehicledetail/207b2ea5-13a3-48b1-b604-0fa25e6bd560/
Carbon Black Metallic,Black,Rear-wheel Drive,22–29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBADZ2C07NCH18293,H18293,"45,541 mi.",2022 BMW 840 i,53990.0,$,https://www.cars.com/vehicledetail/532e4f61-2766-42a3-a6e0-0bd191e6755a/
–,–,All-wheel Drive,15–24,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,WDDNG9EB8DA528648,P10058,"86,869 mi.",2013 Mercedes-Benz S-Class S 550 4MATIC,20523.0,$,https://www.cars.com/vehicledetail/c384517b-c153-4d75-8c50-d8fc8e5a4907/
Black,Macchiato,All-wheel Drive,20–27,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4FB9RB056827,RB056827,25 mi.,2024 Mercedes-Benz GLE 350 Base 4MATIC,73495.0,$,https://www.cars.com/vehicledetail/d5f690ea-420b-4bc0-8481-ad692b82e5c8/
White,Black / Graphite,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEKU5JR8P6120154,38589A,"5,764 mi.",2023 Toyota 4Runner Limited,49913.0,$,https://www.cars.com/vehicledetail/216529aa-7d7a-4a63-b145-a9fc493c91b5/
Summit White,Cocoa / Dune,Rear-wheel Drive,15–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSCGKC9LR173281,PJ301406A,"67,015 mi.",2020 Chevrolet Suburban LS,33000.0,$,https://www.cars.com/vehicledetail/98b4af5f-7917-4086-847f-ac7ac632bc39/
Crystal Black Silica,Black,All-wheel Drive,27–35,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,4S3GTAM66J3731896,GU0817,"75,235 mi.",2018 Subaru Impreza 2.0i Sport,18999.0,$,https://www.cars.com/vehicledetail/8ea8986d-e8e0-471f-86de-03bc3e0d2d3a/
Black Obsidian,Graphite,Front-wheel Drive,23–29,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5BA0MF119081,PP3758,"52,045 mi.",2021 INFINITI QX50 Luxe,29000.0,$,https://www.cars.com/vehicledetail/6d9264c6-135d-4cb8-b7a8-53a0fa5cfef9/
Mojave Silver Metallic,Macchiato,All-wheel Drive,17–21,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,4JGFB8GB2LA177430,41957,"34,547 mi.",2020 Mercedes-Benz GLE 580 AWD 4MATIC,55345.0,$,https://www.cars.com/vehicledetail/c58a3d29-ada9-4015-8d11-7603b894b2ff/
Vapor Blue Metallic,Black Onyx,All-wheel Drive,,,1-Speed Automatic,Electric,3FMTK3SU8PMA55338,3C5338,9 mi.,2023 Ford Mustang Mach-E Premium,55730.0,$,https://www.cars.com/vehicledetail/41ace8c7-819d-4379-9409-5e81e7b9239d/
Polymetal Gray Metallic,Black W/ Gray,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,7MMVABBM3RN162669,RN162669,3 mi.,2024 Mazda CX-50 2.5 S Preferred Package,33685.0,$,https://www.cars.com/vehicledetail/1da1fdb2-13e8-40a4-b524-9f22c13bf67c/
Crystal Black Silica,Black,All-wheel Drive,27–34,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF1GUAFC6R8285091,S240567,5 mi.,2024 Subaru Impreza Sport,29143.0,$,https://www.cars.com/vehicledetail/1c015041-d9b7-4fa1-b89d-c546d6cae986/
Pearl White,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C6UR5FL9PG613088,D10066,0 mi.,2023 RAM 2500 Laramie,87140.0,$,https://www.cars.com/vehicledetail/50097ecb-9549-4e1d-acac-bb21d2c61061/
Magnetic Gray,Black,Rear-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEEU5JR9P5301959,P5301959,3 mi.,2023 Toyota 4Runner SR5,42097.0,$,https://www.cars.com/vehicledetail/7b9fbab9-1732-463a-add9-6612e9788caf/
Gray,Black Onyx,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3FTTW8F95PRB00038,PRB00038,5 mi.,2023 Ford Maverick XLT,32370.0,$,https://www.cars.com/vehicledetail/d3d4c8d2-ecea-48b7-b8fa-fb5bf78064cd/
Scarlet Ember,Charcoal,FWD,27–37,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4EV1RN316640,N24043,10 mi.,2024 Nissan Altima 2.5 SL,35115.0,$,https://www.cars.com/vehicledetail/9041586a-8446-42ef-8645-50b067593eb2/
Crimson Metallic,Jet Black,Front-wheel Drive,28–32,Gasoline,6-Speed Automatic,1.2L I3 12V GDI DOHC Turbo,KL77LJE22RC120980,124082,–,2024 Chevrolet Trax 2RS,26540.0,$,https://www.cars.com/vehicledetail/5e200ebb-575b-4256-8f43-650b336c620d/
Alpine White,Black,All-wheel Drive,,,1-Speed Automatic,Electric,WB523CF07RCP32657,RCP32657,8 mi.,2024 BMW iX xDrive50,96595.0,$,https://www.cars.com/vehicledetail/6c3155a4-0774-4b0e-85ae-b548c7fb3566/
Black,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W3DT9KEC87058,F3365A,"58,530 mi.",2019 Ford F-350 Platinum,66790.0,$,https://www.cars.com/vehicledetail/5a95c3c6-a025-4638-b43b-250c53a20080/
Pitch Black Clearcoat,Ruby Red,Rear-wheel Drive,15–24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ3NH131357,CJ3820,"9,240 mi.",2022 Dodge Charger Scat Pack,49389.0,$,https://www.cars.com/vehicledetail/61b2cd0b-e9a8-4e28-a66d-b918e8672f5f/
Summit White,Jet Black,Rear-wheel Drive,23–33,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1G6DP5RK5R0109505,R0109505,–,2024 Cadillac CT5 Sport RWD,49190.0,$,https://www.cars.com/vehicledetail/5c372bf1-30f1-4117-a5c7-b91f106894de/
Black,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E54NH471532,F6455B,"28,285 mi.",2022 Honda Civic Si Base,30888.0,$,https://www.cars.com/vehicledetail/c85109b0-b2cc-4ba7-9e11-8b3ef1ade6d1/
Summit White,Cocoa / Shale,Rear-wheel Drive,15–22,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1GKS1CKJ4HR294446,U9434,"49,251 mi.",2017 GMC Yukon Denali,43249.0,$,https://www.cars.com/vehicledetail/88f4894d-994f-4316-92e8-75a25fdc9151/
Redline 2 Coat Pearl,Ruby Red,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFLG7LC267302,95339,"26,728 mi.",2020 Jeep Grand Cherokee Trailhawk,32990.0,$,https://www.cars.com/vehicledetail/3ddeb550-3d42-4574-9af2-4d14e90baa5d/
Atlas,Black,All-wheel Drive,,,1-Speed Automatic,Electric,KM8KMDAF2PU191717,HH7551,10 mi.,2023 Hyundai IONIQ 5 SE,39749.0,$,https://www.cars.com/vehicledetail/4900e8d8-a1d9-425a-a7e6-3d0350ec3072/
Black Raven,Jet Black,Four-wheel Drive,14–19,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,1GYS4EKT0MR339595,P2348,"29,622 mi.",2021 Cadillac Escalade Sport,84000.0,$,https://www.cars.com/vehicledetail/930ffb67-d2a8-4e29-a3a5-fb77707209d8/
Midnight Black Metallic,Graphite,Four-wheel Drive,17–20,Gasoline,6-Speed Manual,3.5L V6 24V PDI DOHC,5TFCZ5AN9KX204106,42577A,"24,144 mi.",2019 Toyota Tacoma TRD Sport,34995.0,$,https://www.cars.com/vehicledetail/38e2cdf4-475a-49cf-a532-9c4bea6a23a5/
08W7,Black,All-wheel Drive,45–38,Hybrid,Automatic CVT,2.0L I4 16V PDI DOHC Hybrid,7MUFBABG9PV012696,PV39A590,–,2023 Toyota Corolla Cross Hybrid SE,31593.0,$,https://www.cars.com/vehicledetail/c8e89064-1156-44f1-b814-bd85fdc1e8d0/
Black Clearcoat,Black,Four-wheel Drive,21–24,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXEG2PW671806,PW671806,13 mi.,2023 Jeep Wrangler Sahara,53488.0,$,https://www.cars.com/vehicledetail/e05f9176-b4bf-4ecd-989b-d544e822e39a/
Black,Blue,Rear-wheel Drive,–,Gasoline,5-Speed Automatic,5.0L V8 16V 4 BBL OHV,3GCCW80HXHS905009,CSA6708,"122,485 mi.",1987 Chevrolet El Camino 383 STROKER,14995.0,$,https://www.cars.com/vehicledetail/b5b7cc7f-8058-415f-ada2-0941823f3f9c/
Obsidian Black Metallic,Black,Rear-wheel Drive,20–23,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WD4PG2EEXG3142221,AKPX2476A,"89,841 mi.",2016 Mercedes-Benz Metris Base,19999.0,$,https://www.cars.com/vehicledetail/5803a089-2f30-488e-8bac-a796157d5599/
Magnetic Gray Metallic,Black/White,Four-wheel Drive,19–22,Gasoline,Automatic,"I-FORCE 3.4L V-6 port/direct injection, DOHC, VVT-i variable val",7SVAAABA5RX022485,RX36C585O,0 mi.,2024 Toyota Sequoia Base,89072.0,$,https://www.cars.com/vehicledetail/195eee7a-06d8-44bf-bcea-c3385d391820/
Riverside Blue Metallic,Jet Black,Rear-wheel Drive,19–29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,1G1FB1RX7N0114894,91412,"28,075 mi.",2022 Chevrolet Camaro 1LT,27195.0,$,https://www.cars.com/vehicledetail/908d539e-bdee-40dc-a3dc-f431c960dc86/
Summit White,Jet Black,Front-wheel Drive,26–31,Gasoline,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,KL7CJLSB1LB018815,P3012,"16,732 mi.",2020 Chevrolet Trax LT,19999.0,$,https://www.cars.com/vehicledetail/7fdb2e5b-9762-450d-bc0a-380a513ec48d/
Shadow Black,Ebony,Rear-wheel Drive,18–27,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI DOHC,1FA6P8AM5H5265376,F3W689915A,"40,243 mi.",2017 Ford Mustang V6,20999.0,$,https://www.cars.com/vehicledetail/47c99695-cb48-4fca-bef6-661b017c286c/
Summit White,Jet Black,Front-wheel Drive,28–32,Gasoline,6-Speed Automatic,1.2L I3 12V GDI DOHC Turbo,KL77LJE21RC011300,24019,5 mi.,2024 Chevrolet Trax 2RS,26580.0,$,https://www.cars.com/vehicledetail/a6fcfb22-c950-4112-883b-932991a59582/
Sapphire Blue Metallic,Gray,Front-wheel Drive,35–41,Gasoline,Automatic CVT,1.2L I3 12V MPFI DOHC,ML32FUFJ4PHF05328,M1573,30 mi.,2023 Mitsubishi Mirage G4 LE,18006.0,$,https://www.cars.com/vehicledetail/f0372918-8822-430b-abfb-b1be66b408cb/
Crystal Black Pearl,Ebony,All-wheel Drive,18–27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FRYD4H82FB006979,14912A,"145,284 mi.",2015 Acura MDX 3.5L Advance Pkg w/Entertainment Pkg,17389.0,$,https://www.cars.com/vehicledetail/8dd68004-86cc-4ed6-9618-3529c22dbcd6/
Platinum White Pearl,–,Front-wheel Drive,26–36,Gasoline,Manual,"1.5L I-4 gasoline direct injection, DOHC, VTEC variable valve co",19UDE4G74PA001154,232352,"10,262 mi.",2023 Acura Integra A-Spec w/ Technology,33999.0,$,https://www.cars.com/vehicledetail/0f220fcd-6d11-4bf6-a11f-8e4963b5282c/
Platinum White Pearl,Black,Front-wheel Drive,46–41,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F59PA009144,H23146,–,2023 Honda Accord Hybrid Sport,33445.0,$,https://www.cars.com/vehicledetail/f0155f12-325f-4cf2-8301-43a44a59c11b/
Deep Forest Green,Desert Beige,All-wheel Drive,,,1-Speed Automatic,Electric,KNDC3DLC1P5150813,Q201235,0 mi.,2023 Kia EV6 GT-Line,59850.0,$,https://www.cars.com/vehicledetail/8ef485de-f2e0-49d1-84e2-507a85ab3508/
Ultra White,–,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo,2T2KGCEZ5PC018020,PC018020,–,2023 Lexus NX 350 F SPORT Handling,51915.0,$,https://www.cars.com/vehicledetail/d4c7c1cb-8419-4d17-b787-807058f1ca6b/
Red,–,All-wheel Drive,19–23,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WP1AA2A54LLB08999,LLB08999,"14,060 mi.",2020 Porsche Macan Base,46900.0,$,https://www.cars.com/vehicledetail/dc9f2e86-7082-458c-8e9a-4faf7090e7d1/
Glacier White Metallic,Black,All-wheel Drive,24–31,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WAUDAAF46MA035234,A231214A,"41,810 mi.",2021 Audi A4 45 S line quattro Premium,31295.0,$,https://www.cars.com/vehicledetail/eef78385-d9fe-4c51-9559-319ebe25a130/
White Frost Tri-Coat,Cocoa / Shale,Four-wheel Drive,14–22,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2CKJ8LR166149,PC107,"93,702 mi.",2020 GMC Yukon Denali,40636.0,$,https://www.cars.com/vehicledetail/6eb52d4b-1b48-4716-bbbb-5a75ceb82b2a/
Pearl White,Dark Gray,Front-wheel Drive,37–43,Gasoline,CVT,"1.2L I-3 DOHC, MIVEC variable valve control, regular unleaded, e",ML32A3HJ4JH005938,10453,"64,096 mi.",2018 Mitsubishi Mirage ES,9797.0,$,https://www.cars.com/vehicledetail/61e85dbe-d1bc-4459-86d6-0fc1ed8187ee/
Gray,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GT49PEYXRF256879,RF256879,5 mi.,2024 GMC Sierra 2500 AT4,89555.0,$,https://www.cars.com/vehicledetail/75fd8858-37ee-46db-bda7-438e18e43714/
Blue Crush Metallic,–,Four-wheel Drive,18–22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TYCZ5AN1PT149054,38459,5 mi.,2023 Toyota Tacoma TRD Sport,42176.0,$,https://www.cars.com/vehicledetail/0e9b261e-cf6c-4f8e-87c2-f680d631a483/
Gray,–,Front-wheel Drive,26–36,E85 Flex Fuel,5-Speed Manual,2.0L I4 16V GDI DOHC Flexible Fuel,1FADP3F29GL373754,G5414,"31,457 mi.",2016 Ford Focus SE,15995.0,$,https://www.cars.com/vehicledetail/c9ac9754-763b-44b6-b178-d0a0c0f8e017/
Sage Gray,Black,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5NTJADAEXRH092870,304322,7 mi.,2024 Hyundai Santa Cruz 2.5L SE,30310.0,$,https://www.cars.com/vehicledetail/571287c8-999d-4416-bfe7-a81b2be28e51/
Velocity Blue Metallic,Black Onyx,Four-wheel Drive,16–18,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5CH3MLA60243,7428,"10,398 mi.",2021 Ford Bronco Badlands,48996.0,$,https://www.cars.com/vehicledetail/346fbb2a-b648-4bb5-a367-df5e6d4769ad/
Graphite Gray Metallic,Black,All-wheel Drive,20–29,Hybrid,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,W1K6G6KB6PA204576,PA204576,20 mi.,2023 Mercedes-Benz S-Class Base,150720.0,$,https://www.cars.com/vehicledetail/6dc02962-9231-41cb-a83d-9b777dc50680/
Fuji White,Ebony,All-wheel Drive,22–27,Gasoline,Automatic,I4,SADCJ2EX7PA715488,PA715488,"3,064 mi.",2023 Jaguar F-PACE S,62725.0,$,https://www.cars.com/vehicledetail/dcc93c31-eb5d-420b-91c8-ce73c206e439/
–,–,Four-wheel Drive,14–19,Gasoline,Automatic,"5L V-8 gasoline direct injection, DOHC, variable valve control,",SALWR2EF2GA547020,GPM0273,"32,434 mi.",2016 Land Rover Range Rover 5.0L Supercharged,38795.0,$,https://www.cars.com/vehicledetail/2da74339-f031-4f16-88d6-4882d2372b3b/
Black,–,Four-wheel Drive,15–19,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJAM7BX0L5258003,P8491,"59,951 mi.",2020 Lexus GX 460 Base,39998.0,$,https://www.cars.com/vehicledetail/f5facc73-26c1-4428-9c0d-8a63e43550a6/
Midnight Blue Metallic,Black,Front-wheel Drive,18–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNERHKW9LJ149802,23607-1,"57,623 mi.",2020 Chevrolet Traverse LT Leather,28550.0,$,https://www.cars.com/vehicledetail/38e15a6d-e23a-4eee-a53d-ba497085779f/
Denim Blue,Slate,Front-wheel Drive,23–34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV1102EM2L2359493,16630U,"27,691 mi.",2020 Volvo V60 T5 R-Design,37895.0,$,https://www.cars.com/vehicledetail/2b8ee3a6-670b-4db4-9279-1561a23094bd/
Night Armor,Gray,Rear-wheel Drive,16–22,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,5N1AN0NU6CC527296,CC527296A,"155,206 mi.",2012 Nissan Xterra S,8695.0,$,https://www.cars.com/vehicledetail/4fc04121-178c-498b-bf55-9fd2adb12bd9/
Jet Black,Black,All-wheel Drive,24–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXYJ1C05L5P12435,P5P12435,"38,276 mi.",2020 BMW X2 xDrive28i,26974.0,$,https://www.cars.com/vehicledetail/dd8f8bc2-5456-4ad5-a116-41955c3c5d55/
Summit White,Jet Black,Four-wheel Drive,17–24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GCGTDEN4J1155843,15747P,"89,005 mi.",2018 Chevrolet Colorado Z71,24599.0,$,https://www.cars.com/vehicledetail/0a8f018b-0535-4b6e-8602-27f6e5db678d/
Machine Gray Metallic,Black,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM1L0732049,24873G,"58,055 mi.",2020 Mazda CX-5 Grand Touring,24989.0,$,https://www.cars.com/vehicledetail/7236aa42-3246-4f08-8b8f-36dccf3f1003/
Magnetic Gray Metallic,Ebony,Front-wheel Drive,21–26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2LMPJ6L98KBL52205,K122428T,"53,064 mi.",2019 Lincoln Nautilus Reserve,27383.0,$,https://www.cars.com/vehicledetail/90892793-9a09-438e-8cb7-a1c3ed61be93/
Black,Black,Four-wheel Drive,17–21,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,1C4AJWAG6DL671046,5186,"101,320 mi.",2013 Jeep Wrangler Sport,16700.0,$,https://www.cars.com/vehicledetail/0bec980c-683e-4ea5-a9b3-b226e6516a29/
Super Black,Charcoal,Front-wheel Drive,28–39,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4BV5MN302656,141857,"64,368 mi.",2021 Nissan Altima 2.5 S,18995.0,$,https://www.cars.com/vehicledetail/cc8ebb49-7833-4796-9a3e-72c8c476401a/
Jet Black,Tacora Red,Rear-wheel Drive,25–34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA23AT06RCP03953,RCP03953,8 mi.,2024 BMW 430 i,60945.0,$,https://www.cars.com/vehicledetail/f54951a1-f4f6-4757-a80a-9c0f7df6418f/
Quartzite Grey Metallic,Black,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo Hybrid,WP1BE2AY5MDA44082,1135410B,"33,830 mi.",2021 Porsche Cayenne E-Hybrid Coupe Base,78990.0,$,https://www.cars.com/vehicledetail/c00be611-7e6d-4b28-9f76-6d254017ea4d/
Blue Metallic,Ebony Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K8DH7KGA99047,HP3400,"50,115 mi.",2019 Ford Explorer XLT,25000.0,$,https://www.cars.com/vehicledetail/a310f85d-1ba4-4e30-bd03-c21c951d539c/
Satin Cashmere Metallic,Parchment,Front-wheel Drive,20–27,Gasoline,8-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2ZZMCA2HC042482,HC042482,"144,301 mi.",2017 Lexus RX 350 350,21943.0,$,https://www.cars.com/vehicledetail/7b2abdb3-d5ab-4d41-bd17-b48d9a655a80/
Alabaster Silver Metallic,–,Four-wheel Drive,17–24,Gasoline,Automatic,"3.5L V-6 i-VTEC VCM variable valve control, engine with cylinder",5FNYF4H27EB007101,007101,"93,707 mi.",2014 Honda Pilot LX,13899.0,$,https://www.cars.com/vehicledetail/f5c36744-6290-4dda-b1c8-64573ef029b6/
Gun Metallic,Charcoal,Rear-wheel Drive,19–26,Gasoline,7-Speed Automatic,3.7L V6 24V MPFI DOHC,JN1AZ4EH5LM822874,P11529,"30,038 mi.",2020 Nissan 370Z Base,34775.0,$,https://www.cars.com/vehicledetail/f648f749-19f3-4dd1-bdef-98a00323fc71/
Magnetite Gray Metallic,Black,All-wheel Drive,20–26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMAPDXN3464234,N3464234X,"7,051 mi.",2022 Subaru Ascent Limited 7-Passenger,37500.0,$,https://www.cars.com/vehicledetail/0ee220b7-ec5a-4953-9438-3292fd0f037b/
Atomic Silver,Red,Rear-wheel Drive,20–28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHGZ1B2XM5043860,A43860,"25,219 mi.",2021 Lexus IS 350 F Sport,40339.0,$,https://www.cars.com/vehicledetail/dbb86471-c752-4c77-b969-9bdb308e1b58/
Diamond Black,Black,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG0MC582171,25726XA,"37,366 mi.",2021 Jeep Grand Cherokee Limited,35932.0,$,https://www.cars.com/vehicledetail/9626833d-556c-416b-870c-a05a280f3499/
Boulder Gray Pearl,Charcoal,Four-wheel Drive,17–22,Gasoline,9-Speed Automatic,3.8L V6 24V GDI DOHC,1N6ED1EK6NN650422,P11565,"18,096 mi.",2022 Nissan Frontier PRO-4X,37250.0,$,https://www.cars.com/vehicledetail/9133d020-999b-4ad5-b6a8-8305c55aac42/
Remington Red Metallic,Beige,Front-wheel Drive,23–34,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,5XXGN4A72EG291044,D6687,"85,733 mi.",2014 Kia Optima EX,12499.0,$,https://www.cars.com/vehicledetail/dc854be8-c53b-4459-9cde-9ecadbd65d41/
Magnetico Bronze Metallic,Nero,Rear-wheel Drive,26–35,Gasoline,6-Speed Automatic,1.4L I4 16V MPFI SOHC Turbo,JC1NFAEK6J0140203,F3156,"18,301 mi.",2018 FIAT 124 Spider Classica,22588.0,$,https://www.cars.com/vehicledetail/305f844c-21fe-492d-8dfa-cebfd12bd790/
